2012-10-02 09:00:00,5545,288.28,0,9,true,0.5545
2012-10-02 10:00:00,4516,289.36,0,10,false,0.4516
2012-10-02 11:00:00,4767,289.58,0,11,false,0.4767
2012-10-02 12:00:00,5026,290.13,0,12,false,0.5026
2012-10-02 13:00:00,4918,291.14,0,13,false,0.4918
2012-10-02 14:00:00,5181,291.72,0,14,false,0.5181
2012-10-02 15:00:00,5584,293.17,0,15,false,0.5584
2012-10-02 16:00:00,6015,293.86,0,16,true,0.6015
2012-10-02 17:00:00,5791,294.14,0,17,true,0.5791
2012-10-02 18:00:00,4770,293.1,0,18,true,0.477
2012-10-02 19:00:00,3539,290.97,0,19,false,0.3539
2012-10-02 20:00:00,2784,289.38,0,20,false,0.2784
2012-10-02 21:00:00,2361,288.61,0,21,false,0.2361
2012-10-02 22:00:00,1529,287.16,0,22,false,0.1529
2012-10-02 23:00:00,963,285.45,0,23,false,0.0963
2012-10-03 00:00:00,506,284.63,0,0,false,0.0506
2012-10-03 01:00:00,321,283.47,0,1,false,0.0321
2012-10-03 02:00:00,273,281.18,0,2,false,0.0273
2012-10-03 03:00:00,367,281.09,0,3,false,0.0367
2012-10-03 04:00:00,814,279.53,0,4,false,0.0814
2012-10-03 05:00:00,2718,278.62,0,5,false,0.2718
2012-10-03 06:00:00,5673,278.23,0,6,false,0.5673
2012-10-03 08:00:00,6511,278.12,0,8,true,0.6511
2012-10-03 09:00:00,5471,282.48,0,9,true,0.5471
2012-10-03 12:00:00,5097,291.97,0,12,false,0.5097
2012-10-03 13:00:00,4887,293.23,0,13,false,0.4887
2012-10-03 14:00:00,5337,294.31,0,14,false,0.5337
2012-10-03 15:00:00,5692,295.17,0,15,false,0.5692
2012-10-03 16:00:00,6137,295.13,0,16,true,0.6137
2012-10-03 18:00:00,4623,293.66,0,18,true,0.4623
2012-10-03 19:00:00,3591,290.65,0,19,false,0.3591
2012-10-03 20:00:00,2898,288.19,0,20,false,0.2898
2012-10-03 21:00:00,2637,287.1,0,21,false,0.2637
2012-10-03 22:00:00,1777,286.25,0,22,false,0.1777
2012-10-03 23:00:00,1015,285.26,0,23,false,0.1015
2012-10-04 00:00:00,598,284.55,0,0,false,0.0598
2012-10-04 01:00:00,369,283.47,0,1,false,0.0369
2012-10-04 02:00:00,312,283.17,0,2,false,0.0312
2012-10-04 03:00:00,367,282.04,0,3,false,0.0367
2012-10-04 04:00:00,835,281.69,0,4,false,0.0835
2012-10-04 05:00:00,2726,281.32,0,5,false,0.2726
